species,substance,delta
Ent. faecalis,LIZ,1.1397
Ent. faecalis,PIP,11.298
Ent. faecalis,PIT,-2.0101
Ent. faecalis,SXT,-0.1892
Ent. faecalis,TPL,-0.1665
Ent. faecalis,VAN,0.9858
S. aureus,AMK,-156.8816
S. aureus,AMS,-2.0908
S. aureus,CIP,-2.7817
S. aureus,CLI,-17.8333
S. aureus,CTX,-16.9978
S. aureus,CXM,-82.6496
S. aureus,DOX,-4.3635
S. aureus,DPT,-1.1762
S. aureus,FOS,-63.8086
S. aureus,GEN,-321.3795
S. aureus,IMP,-2.1894
S. aureus,LEV,-2.7025
S. aureus,LIZ,-0.3741
S. aureus,MER,-5.7229
S. aureus,MOX,-0.9263
S. aureus,PIT,-6.589
S. aureus,RAM,-1.5536
S. aureus,ROX,-17.5445
S. aureus,SXT,-0.4012
S. aureus,TOB,73.628
S. aureus,TPL,0.1506
S. aureus,VAN,-0.5063
P. aeruginosa,AMK,2.6895
P. aeruginosa,AZT,-0.5112
P. aeruginosa,CAZ,-0.7056
P. aeruginosa,CIP,0.8608
P. aeruginosa,COL,-0.1424
P. aeruginosa,IMP,0.0678
P. aeruginosa,LEV,0.7969
P. aeruginosa,MER,-0.0546
P. aeruginosa,PIP,-19.4199
P. aeruginosa,PIT,-3.2752
P. aeruginosa,TOB,0.1168
P. aeruginosa,AMK,0.8479
P. aeruginosa,AZT,15.2965
P. aeruginosa,CAZ,1.4073
P. aeruginosa,CIP,0.207
P. aeruginosa,COL,0.3325
P. aeruginosa,IMP,0.2059
P. aeruginosa,LEV,0.432
P. aeruginosa,MER,0.4112
P. aeruginosa,PIP,-2.2149
P. aeruginosa,PIT,5.5485
P. aeruginosa,TOB,-0.0852
P. aeruginosa,AMK,0.6545
P. aeruginosa,AZT,14.4378
P. aeruginosa,CAZ,0.8251
P. aeruginosa,CIP,0.2888
P. aeruginosa,COL,1.2906
P. aeruginosa,IMP,3.5948
P. aeruginosa,LEV,1.7064
P. aeruginosa,MER,0.8919
P. aeruginosa,PIP,-2.142
P. aeruginosa,PIT,4.5029
P. aeruginosa,TOB,0.0824
E. coli,AMK,0.6655
E. coli,AMS,-11.0927
E. coli,AZT,-0.9209
E. coli,CAZ,-0.7248
E. coli,CIP,0.2883
E. coli,COL,-0.4951
E. coli,CTX,-0.5603
E. coli,CXM,-7.8935
E. coli,FOS,-6.7567
E. coli,GEN,0.3886
E. coli,IMP,0.1285
E. coli,LEV,-0.1668
E. coli,MER,-0.0376
E. coli,MOX,-0.2519
E. coli,PIP,-11.0714
E. coli,PIT,-0.943
E. coli,SXT,-1.6926
E. coli,TOB,0.5752
S. aureus,AMK,-17.9227
S. aureus,AMS,-0.5136
S. aureus,CIP,-0.8479
S. aureus,CLI,-1.2182
S. aureus,CTX,-4.9652
S. aureus,CXM,-10.0168
S. aureus,DOX,-0.6714
S. aureus,DPT,-0.6352
S. aureus,FOS,-10.5152
S. aureus,GEN,-10.5427
S. aureus,IMP,-0.283
S. aureus,LEV,-0.5452
S. aureus,LIZ,-0.6766
S. aureus,MER,-0.6479
S. aureus,MOX,-0.1215
S. aureus,PIT,-1.5886
S. aureus,RAM,-0.1893
S. aureus,ROX,-3.8328
S. aureus,SXT,-0.1124
S. aureus,TOB,20.6302
S. aureus,TPL,-0.1449
S. aureus,VAN,-0.7583
E. coli,AMK,0.86
E. coli,AMS,-5.964
E. coli,AZT,-0.0584
E. coli,CAZ,-0.0762
E. coli,CIP,-0.0369
E. coli,COL,-0.5521
E. coli,CTX,-0.04
E. coli,CXM,-3.5413
E. coli,FOS,-6.5357
E. coli,GEN,0.1214
E. coli,IMP,-0.1614
E. coli,LEV,-0.0481
E. coli,MER,-0.0065
E. coli,MOX,-0.0708
E. coli,PIP,-3.6257
E. coli,PIT,-0.3773
E. coli,SXT,-0.3267
E. coli,TOB,0.634
S. aureus,AMK,-0.6652
S. aureus,AMS,-0.0139
S. aureus,CIP,-0.6042
S. aureus,CLI,-0.1293
S. aureus,CTX,-1.0298
S. aureus,CXM,-0.9709
S. aureus,DOX,-0.0793
S. aureus,DPT,0.0703
S. aureus,FOS,-2.3069
S. aureus,GEN,-0.3068
S. aureus,IMP,-0.088
S. aureus,LEV,-0.3641
S. aureus,LIZ,0.2352
S. aureus,MER,-0.156
S. aureus,MOX,-0.0707
S. aureus,PIT,0.7959
S. aureus,RAM,-0.0177
S. aureus,ROX,14.4571
S. aureus,SXT,-0.0783
S. aureus,TOB,6.9232
S. aureus,TPL,-0.2186
S. aureus,VAN,0.1334
S. aureus,AMK,1.1434
S. aureus,AMS,3.7594
S. aureus,CIP,-0.2365
S. aureus,CLI,0.0635
S. aureus,CTX,2.1809
S. aureus,CXM,0.7355
S. aureus,DOX,0.1605
S. aureus,DPT,0.1218
S. aureus,FOS,2.4615
S. aureus,GEN,0.1283
S. aureus,IMP,0.0067
S. aureus,LEV,-0.096
S. aureus,LIZ,1.2049
S. aureus,MER,-0.0123
S. aureus,MOX,-0.042
S. aureus,PIT,3.4587
S. aureus,RAM,-0.0039
S. aureus,ROX,0.1136
S. aureus,SXT,15.9034
S. aureus,TOB,21.8424
S. aureus,TPL,0.1678
S. aureus,VAN,0.1589
Ent. faecalis,AMS,-1.6992
Ent. faecalis,IMP,-1.5805
Ent. faecalis,LIZ,1.0983
Ent. faecalis,PIP,12.0624
Ent. faecalis,PIT,-6.7788
Ent. faecalis,SXT,-0.3042
Ent. faecalis,TPL,-0.1465
Ent. faecalis,VAN,0.8974
P. aeruginosa,AMK,0.6111
P. aeruginosa,AZT,4.8579
P. aeruginosa,CAZ,1.9241
P. aeruginosa,CIP,-0.0073
P. aeruginosa,COL,0.3356
P. aeruginosa,IMP,3.5198
P. aeruginosa,LEV,-0.2315
P. aeruginosa,MER,0.3757
P. aeruginosa,PIP,6.2833
P. aeruginosa,PIT,-0.7299
P. aeruginosa,TOB,0.0814
E. coli,AMK,-0.0183
E. coli,AMS,-1.6151
E. coli,AZT,0.006
E. coli,CAZ,-0.0127
E. coli,CIP,-0.0003
E. coli,COL,-0.501
E. coli,CTX,-0.0064
E. coli,CXM,0.8843
E. coli,FOS,-6.0185
E. coli,GEN,-0.0102
E. coli,IMP,-0.12
E. coli,LEV,0.0047
E. coli,MER,0.001
E. coli,MOX,-0.0246
E. coli,PIP,-1.9485
E. coli,PIT,0.8668
E. coli,SXT,-0.0511
E. coli,TOB,-0.2457
P. aeruginosa,AMK,-0.5922
P. aeruginosa,AZT,-4.2379
P. aeruginosa,CAZ,-3.6757
P. aeruginosa,CIP,-0.7324
P. aeruginosa,COL,1.3253
P. aeruginosa,IMP,0.33
P. aeruginosa,LEV,0.7716
P. aeruginosa,MER,0.345
P. aeruginosa,PIP,-43.7435
P. aeruginosa,PIT,-3.2326
P. aeruginosa,TOB,-0.4351
E. coli,AMK,-0.8581
E. coli,AMS,-5.1965
E. coli,AZT,-0.0712
E. coli,CAZ,-0.0856
E. coli,CIP,-0.0217
E. coli,COL,-0.519
E. coli,CTX,-0.0439
E. coli,CXM,-2.6238
E. coli,FOS,-7.1148
E. coli,GEN,-0.0922
E. coli,IMP,-0.1576
E. coli,LEV,-0.027
E. coli,MER,-0.0068
E. coli,MOX,-0.031
E. coli,PIP,-5.3043
E. coli,PIT,-1.1643
E. coli,SXT,-0.214
E. coli,TOB,-0.2831
Ent. faecalis,AMS,0.5308
Ent. faecalis,IMP,1.8265
Ent. faecalis,LIZ,1.1535
Ent. faecalis,PIP,18.8541
Ent. faecalis,PIT,2.7996
Ent. faecalis,SXT,-0.0793
Ent. faecalis,TPL,-0.1786
Ent. faecalis,VAN,0.0755
P. aeruginosa,AMK,0.5214
P. aeruginosa,AZT,7.209
P. aeruginosa,CAZ,-2.8211
P. aeruginosa,CIP,-0.2878
P. aeruginosa,COL,0.3858
P. aeruginosa,IMP,0.3729
P. aeruginosa,LEV,-0.0597
P. aeruginosa,MER,-0.0908
P. aeruginosa,PIP,-12.005
P. aeruginosa,PIT,-3.3883
P. aeruginosa,TOB,0.0676
E. coli,AMK,0.9496
E. coli,AMS,12.8726
E. coli,AZT,0.0642
E. coli,CAZ,0.0438
E. coli,CIP,0.2233
E. coli,COL,-0.6079
E. coli,CTX,0.0139
E. coli,CXM,1.9137
E. coli,FOS,251.7137
E. coli,GEN,0.2026
E. coli,IMP,-0.103
E. coli,LEV,0.4581
E. coli,MER,0.0077
E. coli,MOX,0.4289
E. coli,PIP,60.9059
E. coli,PIT,0.1473
E. coli,SXT,31.8153
E. coli,TOB,0.1559
P. aeruginosa,AMK,-1.1194
P. aeruginosa,AZT,-2.7504
P. aeruginosa,CAZ,-1.8157
P. aeruginosa,CIP,-0.1195
P. aeruginosa,COL,-0.0848
P. aeruginosa,IMP,3.451
P. aeruginosa,LEV,-0.0145
P. aeruginosa,MER,0.8574
P. aeruginosa,PIP,-31.0432
P. aeruginosa,PIT,-2.5539
P. aeruginosa,TOB,-0.1338
E. coli,AMK,0.0075
E. coli,AMS,61.262
E. coli,AZT,0.0553
E. coli,CAZ,0.411
E. coli,CIP,0.0022
E. coli,COL,-0.5385
E. coli,CTX,0.012
E. coli,CXM,5.8366
E. coli,FOS,-4.5215
E. coli,GEN,0.007
E. coli,IMP,0.09
E. coli,LEV,0.0087
E. coli,MER,0.0072
E. coli,MOX,-0.0194
E. coli,PIP,60.9832
E. coli,PIT,1.1009
E. coli,SXT,-0.0307
E. coli,TOB,0.1931
E. coli,AMK,0.2813
E. coli,AMS,-29.5743
E. coli,AZT,-8.6154
E. coli,CAZ,-4.8876
E. coli,CIP,5.6678
E. coli,COL,-0.4799
E. coli,CTX,-11.4987
E. coli,CXM,-75.2927
E. coli,FOS,-25.32
E. coli,GEN,510.6453
E. coli,IMP,-0.4852
E. coli,LEV,5.3029
E. coli,MER,-0.098
E. coli,MOX,2.8295
E. coli,PIP,73.1516
E. coli,PIT,-5.4683
E. coli,SXT,9.6736
E. coli,TOB,7.4306
E. coli,AMK,-0.3958
E. coli,AMS,-0.3463
E. coli,AZT,-2.8586
E. coli,CAZ,-1.8694
E. coli,CIP,7.7241
E. coli,COL,3.3268
E. coli,CTX,-2.4169
E. coli,CXM,-16.3214
E. coli,FOS,-16.7942
E. coli,GEN,-0.4359
E. coli,IMP,-0.4154
E. coli,LEV,3.6206
E. coli,MER,-0.0608
E. coli,MOX,7.3805
E. coli,PIP,38.6656
E. coli,PIT,-0.6282
E. coli,SXT,29.5681
E. coli,TOB,0.0758
Ent. faecalis,AMS,-3.9216
Ent. faecalis,IMP,-0.876
Ent. faecalis,LIZ,-2.991
Ent. faecalis,PIP,62.3697
Ent. faecalis,PIT,-3.5807
Ent. faecalis,SXT,-1.2557
Ent. faecalis,TPL,-0.9432
Ent. faecalis,VAN,-2.6465
E. coli,AMK,2.7983
E. coli,AMS,57.4034
E. coli,AZT,-0.0184
E. coli,CAZ,-0.0427
E. coli,CIP,-0.0866
E. coli,COL,-0.3829
E. coli,CTX,-0.0247
E. coli,CXM,3.9328
E. coli,FOS,-3.6796
E. coli,GEN,0.5409
E. coli,IMP,-0.1632
E. coli,LEV,-0.1132
E. coli,MER,-0.0045
E. coli,MOX,-0.2514
E. coli,PIP,122.5305
E. coli,PIT,-0.2455
E. coli,SXT,31.2478
E. coli,TOB,0.089
S. aureus,AMK,-20.7054
S. aureus,AMS,-0.3417
S. aureus,CIP,-0.3862
S. aureus,CLI,-1.2159
S. aureus,CTX,-3.389
S. aureus,CXM,-7.637
S. aureus,DOX,-0.7655
S. aureus,DPT,-0.3048
S. aureus,FOS,-12.3132
S. aureus,GEN,-12.2755
S. aureus,IMP,-0.194
S. aureus,LEV,-0.3664
S. aureus,LIZ,0.0182
S. aureus,MER,-0.4832
S. aureus,MOX,-0.1168
S. aureus,PIT,-1.125
S. aureus,RAM,-0.2157
S. aureus,ROX,28.3725
S. aureus,SXT,-0.0906
S. aureus,TOB,30.2727
S. aureus,TPL,-0.1278
S. aureus,VAN,-0.0257
E. coli,AMK,0.5161
E. coli,AMS,-25.4559
E. coli,AZT,-1.221
E. coli,CAZ,-0.9477
E. coli,CIP,-0.6591
E. coli,COL,0.1894
E. coli,CTX,-1.0058
E. coli,CXM,-16.5206
E. coli,FOS,49.4511
E. coli,GEN,-0.3749
E. coli,IMP,0.0631
E. coli,LEV,-0.8094
E. coli,MER,-0.0459
E. coli,MOX,-1.6034
E. coli,PIP,-17.6646
E. coli,PIT,-1.3094
E. coli,SXT,-5.4922
E. coli,TOB,-0.0054
P. aeruginosa,AMK,0.7706
P. aeruginosa,AZT,3.3262
P. aeruginosa,CAZ,1.4166
P. aeruginosa,CIP,0.0334
P. aeruginosa,COL,0.2766
P. aeruginosa,IMP,3.6875
P. aeruginosa,LEV,0.3649
P. aeruginosa,MER,0.1601
P. aeruginosa,PIP,-7.039
P. aeruginosa,PIT,1.5795
P. aeruginosa,TOB,0.1212
E. coli,AMK,-1.1544
E. coli,AMS,48.1631
E. coli,AZT,-0.2746
E. coli,CAZ,0.1011
E. coli,CIP,-0.4639
E. coli,COL,-0.4085
E. coli,CTX,-0.1014
E. coli,CXM,7.0078
E. coli,FOS,-4.0103
E. coli,GEN,-0.6952
E. coli,IMP,-0.2628
E. coli,LEV,-0.5697
E. coli,MER,-0.0226
E. coli,MOX,-1.0993
E. coli,PIP,117.2746
E. coli,PIT,2.0419
E. coli,SXT,-3.7367
E. coli,TOB,0.4965
S. aureus,AMK,-8.5373
S. aureus,AMS,-0.4224
S. aureus,CIP,0.0369
S. aureus,CLI,-0.603
S. aureus,CTX,-0.8711
S. aureus,CXM,-5.5935
S. aureus,DOX,-0.4417
S. aureus,DPT,-0.4206
S. aureus,FOS,-8.1565
S. aureus,GEN,-4.5535
S. aureus,IMP,-0.1926
S. aureus,LEV,-0.4362
S. aureus,LIZ,0.1007
S. aureus,MER,-0.4232
S. aureus,MOX,-0.1372
S. aureus,PIT,-0.5075
S. aureus,RAM,-0.1192
S. aureus,ROX,-2.5168
S. aureus,SXT,-0.0962
S. aureus,TOB,20.3152
S. aureus,TPL,0.2191
S. aureus,VAN,0.0241
E. coli,AMK,-0.3599
E. coli,AMS,47.8144
E. coli,AZT,-0.4386
E. coli,CAZ,-0.0206
E. coli,CIP,7.6952
E. coli,COL,-0.7079
E. coli,CTX,-0.3003
E. coli,CXM,-6.8861
E. coli,FOS,-9.6709
E. coli,GEN,-0.1685
E. coli,IMP,-0.2736
E. coli,LEV,3.5989
E. coli,MER,-0.0273
E. coli,MOX,7.2449
E. coli,PIP,116.1362
E. coli,PIT,-0.2623
E. coli,SXT,-2.3877
E. coli,TOB,0.0381
E. coli,AMK,-0.3467
E. coli,AMS,0.3407
E. coli,AZT,-0.4359
E. coli,CAZ,-0.3921
E. coli,CIP,7.7271
E. coli,COL,-0.5743
E. coli,CTX,-0.2951
E. coli,CXM,-8.7597
E. coli,FOS,-8.2891
E. coli,GEN,-0.3964
E. coli,IMP,-0.0823
E. coli,LEV,3.6373
E. coli,MER,-0.0269
E. coli,MOX,7.3256
E. coli,PIP,-9.6702
E. coli,PIT,-2.0057
E. coli,SXT,-2.1278
E. coli,TOB,1.5461
Ent. faecalis,AMS,0.2848
Ent. faecalis,IMP,1.4754
Ent. faecalis,LIZ,-0.0087
Ent. faecalis,PIP,159.8025
Ent. faecalis,PIT,1.8897
Ent. faecalis,SXT,-0.1396
Ent. faecalis,TPL,-0.0916
Ent. faecalis,VAN,-0.1077
E. coli,AMK,-0.1122
E. coli,AMS,57.8729
E. coli,AZT,-0.1069
E. coli,CAZ,0.2589
E. coli,CIP,0.2126
E. coli,COL,-0.5036
E. coli,CTX,0.0328
E. coli,CXM,2.838
E. coli,FOS,-0.314
E. coli,GEN,-0.2818
E. coli,IMP,0.2718
E. coli,LEV,0.1915
E. coli,MER,-0.009
E. coli,MOX,0.1571
E. coli,PIP,121.9971
E. coli,PIT,0.4803
E. coli,SXT,-0.2172
E. coli,TOB,-0.0934
S. aureus,AMK,-20.3866
S. aureus,AMS,-1.3734
S. aureus,CIP,-1.0222
S. aureus,CLI,-1.9709
S. aureus,CTX,-5.2923
S. aureus,CXM,-20.1625
S. aureus,DOX,-0.788
S. aureus,DPT,-0.2699
S. aureus,FOS,-17.2934
S. aureus,GEN,-17.2903
S. aureus,IMP,-0.8595
S. aureus,LEV,-1.3521
S. aureus,LIZ,1.156
S. aureus,MER,-1.8524
S. aureus,MOX,-0.4463
S. aureus,PIT,-4.0558
S. aureus,RAM,-0.2331
S. aureus,ROX,-5.0177
S. aureus,SXT,-0.1975
S. aureus,TOB,-0.7215
S. aureus,TPL,0.202
S. aureus,VAN,-0.0068
E. coli,AMK,0.9161
E. coli,AMS,27.0228
E. coli,AZT,-0.0398
E. coli,CAZ,-0.0569
E. coli,CIP,-0.0145
E. coli,COL,-0.5192
E. coli,CTX,0.0655
E. coli,CXM,-0.0547
E. coli,FOS,-3.1344
E. coli,GEN,0.1809
E. coli,IMP,0.0422
E. coli,LEV,-0.0166
E. coli,MER,-0.0041
E. coli,MOX,-0.0604
E. coli,PIP,27.0155
E. coli,PIT,2.6902
E. coli,SXT,-0.1584
E. coli,TOB,0.1634
E. coli,AMK,-0.2034
E. coli,AMS,-0.1152
E. coli,AZT,-0.1249
E. coli,CAZ,0.2382
E. coli,CIP,-0.0284
E. coli,COL,-0.3156
E. coli,CTX,0.3905
E. coli,CXM,10.1929
E. coli,FOS,0.2749
E. coli,GEN,-0.2014
E. coli,IMP,-0.1894
E. coli,LEV,-0.0064
E. coli,MER,-0.0118
E. coli,MOX,0.0206
E. coli,PIP,9.0331
E. coli,PIT,6.42
E. coli,SXT,-0.4392
E. coli,TOB,0.1058
S. aureus,AMK,-3.8394
S. aureus,AMS,-0.5968
S. aureus,CIP,-0.6429
S. aureus,CLI,-0.4699
S. aureus,CTX,-3.7976
S. aureus,CXM,-5.9248
S. aureus,DOX,-0.274
S. aureus,DPT,-0.449
S. aureus,FOS,9.4675
S. aureus,GEN,-2.028
S. aureus,IMP,-0.2353
S. aureus,LEV,-0.6002
S. aureus,LIZ,-0.321
S. aureus,MER,-0.4536
S. aureus,MOX,-0.1853
S. aureus,PIT,-1.6244
S. aureus,RAM,-0.0717
S. aureus,ROX,-2.2613
S. aureus,SXT,-0.1122
S. aureus,TOB,8.075
S. aureus,TPL,-0.1877
S. aureus,VAN,0.0654
P. aeruginosa,AMK,0.002
P. aeruginosa,AZT,3.6026
P. aeruginosa,CAZ,1.6402
P. aeruginosa,CIP,0.1155
P. aeruginosa,COL,0.3842
P. aeruginosa,IMP,0.7741
P. aeruginosa,LEV,0.483
P. aeruginosa,MER,0.9236
P. aeruginosa,PIP,1.5468
P. aeruginosa,PIT,2.1043
P. aeruginosa,TOB,-0.0199
E. coli,AMK,0.6054
E. coli,AMS,-18.4303
E. coli,AZT,-0.7291
E. coli,CAZ,-0.6067
E. coli,CIP,-0.353
E. coli,COL,-0.3069
E. coli,CTX,-0.5306
E. coli,CXM,-12.5206
E. coli,FOS,-4.3606
E. coli,GEN,0.2821
E. coli,IMP,-0.1243
E. coli,LEV,-0.4496
E. coli,MER,-0.0352
E. coli,MOX,-0.833
E. coli,PIP,-12.7378
E. coli,PIT,-0.709
E. coli,SXT,-2.789
E. coli,TOB,0.0321
P. aeruginosa,AMK,-0.1618
P. aeruginosa,AZT,7.6068
P. aeruginosa,CAZ,1.6273
P. aeruginosa,CIP,0.0706
P. aeruginosa,COL,0.2665
P. aeruginosa,IMP,0.735
P. aeruginosa,LEV,0.4168
P. aeruginosa,MER,-0.0175
P. aeruginosa,PIP,-0.0442
P. aeruginosa,PIT,2.0876
P. aeruginosa,TOB,-0.1066
E. coli,AMK,0.6506
E. coli,AMS,17.1934
E. coli,AZT,-0.3476
E. coli,CAZ,-0.3261
E. coli,CIP,-0.2754
E. coli,COL,-0.3471
E. coli,CTX,-0.2347
E. coli,CXM,-1.6613
E. coli,FOS,-8.824
E. coli,GEN,-0.1554
E. coli,IMP,-0.2596
E. coli,LEV,-0.3519
E. coli,MER,-0.0242
E. coli,MOX,-0.665
E. coli,PIP,21.1298
E. coli,PIT,-0.0966
E. coli,SXT,29.6845
E. coli,TOB,0.5381
E. coli,AMK,-0.8744
E. coli,AMS,57.5189
E. coli,AZT,-0.1206
E. coli,CAZ,-0.1282
E. coli,CIP,7.9582
E. coli,COL,-0.2568
E. coli,CTX,-0.0687
E. coli,CXM,-1.4072
E. coli,FOS,23.5515
E. coli,GEN,-0.2944
E. coli,IMP,-0.171
E. coli,LEV,7.9351
E. coli,MER,-0.0101
E. coli,MOX,7.8962
E. coli,PIP,121.7459
E. coli,PIT,62.441
E. coli,SXT,15.6858
E. coli,TOB,-0.0987
S. aureus,AMK,-0.8187
S. aureus,AMS,-0.461
S. aureus,CIP,-0.4575
S. aureus,CLI,-0.1771
S. aureus,CTX,-1.6551
S. aureus,CXM,-2.2036
S. aureus,DOX,-0.1412
S. aureus,DPT,0.0146
S. aureus,FOS,-3.4885
S. aureus,GEN,-0.5399
S. aureus,IMP,-0.1355
S. aureus,LEV,-0.4455
S. aureus,LIZ,0.2109
S. aureus,MER,-0.2471
S. aureus,MOX,-0.1407
S. aureus,PIT,-0.4339
S. aureus,RAM,-0.0343
S. aureus,ROX,-0.9601
S. aureus,SXT,-0.0908
S. aureus,TOB,7.7118
S. aureus,TPL,0.1703
S. aureus,VAN,0.1053
S. aureus,AMK,-15.9654
S. aureus,AMS,0.3111
S. aureus,CIP,-0.9077
S. aureus,CLI,-1.1944
S. aureus,CTX,-2.1601
S. aureus,CXM,-7.5536
S. aureus,DOX,-0.6659
S. aureus,DPT,-0.5055
S. aureus,FOS,-8.6819
S. aureus,GEN,-10.3897
S. aureus,IMP,-0.3117
S. aureus,LEV,-0.6921
S. aureus,LIZ,0.0836
S. aureus,MER,-0.7042
S. aureus,MOX,-0.1838
S. aureus,PIT,-1.7278
S. aureus,RAM,-0.1882
S. aureus,ROX,-3.0066
S. aureus,SXT,-0.1184
S. aureus,TOB,18.5257
S. aureus,TPL,-0.1482
S. aureus,VAN,-0.0062
S. aureus,AMK,-3.9024
S. aureus,AMS,-0.2335
S. aureus,CIP,-0.4422
S. aureus,CLI,-0.0711
S. aureus,CTX,-1.3315
S. aureus,CXM,-2.8947
S. aureus,DOX,-0.0474
S. aureus,DPT,-0.0675
S. aureus,FOS,-0.8828
S. aureus,GEN,-1.437
S. aureus,IMP,-0.0704
S. aureus,LEV,-0.2296
S. aureus,LIZ,1.1139
S. aureus,MER,-0.1659
S. aureus,MOX,-0.0319
S. aureus,PIT,-0.6819
S. aureus,RAM,-0.0118
S. aureus,ROX,-1.4298
S. aureus,SXT,-0.0637
S. aureus,TOB,25.3323
S. aureus,TPL,-0.1634
S. aureus,VAN,0.0645
S. aureus,AMK,-7.9369
S. aureus,AMS,-0.556
S. aureus,CIP,-1.2714
S. aureus,CLI,-0.6831
S. aureus,CTX,-5.3356
S. aureus,CXM,-10.1127
S. aureus,DOX,-0.2017
S. aureus,DPT,-0.1258
S. aureus,FOS,-8.8346
S. aureus,GEN,-4.2646
S. aureus,IMP,-0.4387
S. aureus,LEV,-0.959
S. aureus,LIZ,1.188
S. aureus,MER,-0.854
S. aureus,MOX,-0.0568
S. aureus,PIT,-1.8216
S. aureus,RAM,-0.1067
S. aureus,ROX,-3.265
S. aureus,SXT,15.788
S. aureus,TOB,1.2163
S. aureus,TPL,0.1853
S. aureus,VAN,-0.4543
S. aureus,AMK,1.2419
S. aureus,AMS,1.7713
S. aureus,CIP,0.5331
S. aureus,CLI,0.0707
S. aureus,CTX,2.2748
S. aureus,CXM,0.85
S. aureus,DOX,0.1678
S. aureus,DPT,0.132
S. aureus,FOS,14.5897
S. aureus,GEN,0.1485
S. aureus,IMP,0.0113
S. aureus,LEV,-0.0839
S. aureus,LIZ,1.2085
S. aureus,MER,-0.005
S. aureus,MOX,0.0082
S. aureus,PIT,1.4905
S. aureus,RAM,-0.0021
S. aureus,ROX,0.1687
S. aureus,SXT,-0.0313
S. aureus,TOB,22.2048
S. aureus,TPL,0.1656
S. aureus,VAN,0.1648
Ent. faecalis,AMS,-0.6418
Ent. faecalis,IMP,-0.0927
Ent. faecalis,LIZ,1.1442
Ent. faecalis,PIP,8.9274
Ent. faecalis,PIT,-2.8268
Ent. faecalis,SXT,-0.2123
Ent. faecalis,TPL,-0.1674
Ent. faecalis,VAN,-0.0238
P. aeruginosa,AMK,2.8638
P. aeruginosa,AZT,3.5354
P. aeruginosa,CAZ,1.5767
P. aeruginosa,CIP,0.2096
P. aeruginosa,COL,1.3021
P. aeruginosa,IMP,1.7327
P. aeruginosa,LEV,0.4362
P. aeruginosa,MER,0.4181
P. aeruginosa,PIP,-4.3645
P. aeruginosa,PIT,1.95
P. aeruginosa,TOB,0.1622
P. aeruginosa,AMK,-1.1402
P. aeruginosa,AZT,15.7014
P. aeruginosa,CAZ,-1.5017
P. aeruginosa,CIP,6.5898
P. aeruginosa,COL,-0.0716
P. aeruginosa,IMP,30.9421
P. aeruginosa,LEV,14.4341
P. aeruginosa,MER,7.72
P. aeruginosa,PIP,45.3369
P. aeruginosa,PIT,117.5026
P. aeruginosa,TOB,14.6586
P. aeruginosa,AMK,0.4767
P. aeruginosa,AZT,7.0448
P. aeruginosa,CAZ,-2.9356
P. aeruginosa,CIP,-0.0789
P. aeruginosa,COL,1.3662
P. aeruginosa,IMP,3.3504
P. aeruginosa,LEV,1.2389
P. aeruginosa,MER,0.8447
P. aeruginosa,PIP,-30.3579
P. aeruginosa,PIT,0.5334
P. aeruginosa,TOB,0.0441
S. aureus,AMK,-2.6005
S. aureus,AMS,-0.4085
S. aureus,CIP,-0.6551
S. aureus,CLI,-0.2232
S. aureus,CTX,-1.7137
S. aureus,CXM,-3.4317
S. aureus,DOX,-0.1785
S. aureus,DPT,-0.0173
S. aureus,FOS,-4.0073
S. aureus,GEN,-1.0195
S. aureus,IMP,-0.1274
S. aureus,LEV,-0.4926
S. aureus,LIZ,0.1828
S. aureus,MER,-0.2462
S. aureus,MOX,-0.1271
S. aureus,PIT,-1.087
S. aureus,RAM,-0.0442
S. aureus,ROX,-1.8015
S. aureus,SXT,31.8512
S. aureus,TOB,12.269
S. aureus,TPL,-0.1913
S. aureus,VAN,-0.4105
S. aureus,AMK,-2.8099
S. aureus,AMS,-0.1833
S. aureus,CIP,-0.3718
S. aureus,CLI,-0.1736
S. aureus,CTX,-2.0938
S. aureus,CXM,-2.4719
S. aureus,DOX,-0.2308
S. aureus,DPT,-0.0686
S. aureus,FOS,-4.1379
S. aureus,GEN,-1.1562
S. aureus,IMP,-0.0498
S. aureus,LEV,-0.0542
S. aureus,LIZ,0.0976
S. aureus,MER,-0.1305
S. aureus,MOX,-0.0178
S. aureus,PIT,-0.5531
S. aureus,RAM,-0.0571
S. aureus,ROX,-1.2982
S. aureus,SXT,-0.0552
S. aureus,TOB,29.1194
S. aureus,TPL,-0.1578
S. aureus,VAN,0.0632
E. coli,AMK,-1.0312
E. coli,AMS,-7.8958
E. coli,AZT,-0.4071
E. coli,CAZ,15.2507
E. coli,CIP,-0.0746
E. coli,COL,3.2739
E. coli,CTX,-0.4283
E. coli,CXM,-11.9949
E. coli,FOS,-13.9669
E. coli,GEN,-0.2836
E. coli,IMP,-0.096
E. coli,LEV,-0.1648
E. coli,MER,-0.0338
E. coli,MOX,-0.3087
E. coli,PIP,-9.3422
E. coli,PIT,-0.7591
E. coli,SXT,-1.0596
E. coli,TOB,0.1012
S. aureus,AMK,-8.6214
S. aureus,AMS,-0.921
S. aureus,CIP,6.4673
S. aureus,CLI,-1.0687
S. aureus,CTX,-5.8566
S. aureus,CXM,-12.0493
S. aureus,DOX,-0.3226
S. aureus,DPT,1.3193
S. aureus,FOS,20.5408
S. aureus,GEN,-6.757
