species,substance,delta
Ent. faecalis,IMP,0.0547
Ent. faecalis,LIZ,1.0664
Ent. faecalis,PIP,24.0643
Ent. faecalis,PIT,0.0708
Ent. faecalis,SXT,-0.001
Ent. faecalis,TPL,0.7361
Ent. faecalis,VAN,0.9329
Ent. faecalis,AMS,-0.1312
Ent. faecalis,IMP,0.2037
Ent. faecalis,LIZ,0.0705
Ent. faecalis,PIP,24.4325
Ent. faecalis,PIT,0.536
Ent. faecalis,SXT,-0.1738
Ent. faecalis,TPL,-0.1409
Ent. faecalis,VAN,-0.055
S. aureus,AMK,-2.1166
S. aureus,AMS,-0.1601
S. aureus,CIP,-0.0846
S. aureus,CLI,-0.191
S. aureus,CTX,-1.874
S. aureus,CXM,-1.0475
S. aureus,DOX,-0.0134
S. aureus,DPT,-0.0495
S. aureus,FOS,3.8635
S. aureus,GEN,-0.8618
S. aureus,IMP,-0.0366
S. aureus,LEV,-0.1543
S. aureus,LIZ,0.1012
S. aureus,MER,-0.1044
S. aureus,MOX,-0.0577
S. aureus,PIT,0.2662
S. aureus,RAM,-0.0488
S. aureus,ROX,-0.6474
S. aureus,SXT,3.8872
S. aureus,TOB,29.9239
S. aureus,TPL,0.7154
S. aureus,VAN,0.0713
E. coli,AMK,1.0312
E. coli,AMS,60.5813
E. coli,AZT,-0.0334
E. coli,CAZ,-0.0457
E. coli,CIP,0.0072
E. coli,COL,0.3194
E. coli,CTX,-0.0192
E. coli,CXM,4.4212
E. coli,FOS,-0.2222
E. coli,GEN,0.7836
E. coli,IMP,0.317
E. coli,LEV,0.0163
E. coli,MER,-0.0014
E. coli,MOX,-0.0049
E. coli,PIP,123.8494
E. coli,PIT,0.7247
E. coli,SXT,31.9396
E. coli,TOB,1.7249
Ent. faecalis,AMS,-0.3951
Ent. faecalis,IMP,0.0082
Ent. faecalis,LIZ,0.1188
Ent. faecalis,PIP,18.8197
Ent. faecalis,PIT,-0.5428
Ent. faecalis,SXT,-0.1407
Ent. faecalis,TPL,0.2147
Ent. faecalis,VAN,1.0016
S. aureus,AMK,-2.578
S. aureus,AMS,-0.0016
S. aureus,CIP,7.1337
S. aureus,CLI,-0.2152
S. aureus,CTX,-1.6042
S. aureus,CXM,-2.2312
S. aureus,DOX,-0.1774
S. aureus,DPT,-0.2679
S. aureus,FOS,-2.4174
S. aureus,GEN,-0.8061
S. aureus,IMP,-0.1148
S. aureus,LEV,15.508
S. aureus,LIZ,0.1766
S. aureus,MER,-0.2259
S. aureus,MOX,3.8664
S. aureus,PIT,0.7419
S. aureus,RAM,-0.0437
S. aureus,ROX,-1.4941
S. aureus,SXT,-0.0821
S. aureus,TOB,13.8749
S. aureus,TPL,-0.1888
S. aureus,VAN,0.0889
Ent. faecalis,AMS,2.6309
Ent. faecalis,IMP,1.2637
Ent. faecalis,LIZ,0.1851
